,columns,missing values count
0,Sensor - 1,2
1,Sensor - 2,6
2,Sensor - 3,26
3,Sensor - 4,26
4,Sensor - 5,26
5,Sensor - 6,26
6,Sensor - 7,26
7,Sensor - 8,16
8,Sensor - 9,4
9,Sensor - 10,4
10,Sensor - 11,4
11,Sensor - 12,4
12,Sensor - 13,4
13,Sensor - 14,6
14,Sensor - 15,6
15,Sensor - 16,6
16,Sensor - 17,6
17,Sensor - 18,6
18,Sensor - 19,6
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,2
22,Sensor - 23,2
23,Sensor - 24,2
24,Sensor - 25,2
25,Sensor - 26,2
26,Sensor - 27,2
27,Sensor - 28,2
28,Sensor - 29,2
29,Sensor - 30,2
30,Sensor - 31,2
31,Sensor - 32,2
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,28
41,Sensor - 42,28
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,2
54,Sensor - 55,2
55,Sensor - 56,2
56,Sensor - 57,2
57,Sensor - 58,2
58,Sensor - 59,2
59,Sensor - 60,10
60,Sensor - 61,10
61,Sensor - 62,10
62,Sensor - 63,10
63,Sensor - 64,10
64,Sensor - 65,10
65,Sensor - 66,10
66,Sensor - 67,10
67,Sensor - 68,10
68,Sensor - 69,10
69,Sensor - 70,10
70,Sensor - 71,10
71,Sensor - 72,10
72,Sensor - 73,1060
73,Sensor - 74,1060
74,Sensor - 75,10
75,Sensor - 76,48
76,Sensor - 77,48
77,Sensor - 78,48
78,Sensor - 79,48
79,Sensor - 80,48
80,Sensor - 81,48
81,Sensor - 82,48
82,Sensor - 83,48
83,Sensor - 84,2
84,Sensor - 85,4
85,Sensor - 86,1222
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,102
90,Sensor - 91,102
91,Sensor - 92,10
92,Sensor - 93,4
93,Sensor - 94,4
94,Sensor - 95,10
95,Sensor - 96,10
